id,group,question,elapsed,faithfulness,answer_relevancy,context_precision,context_recall
aapl_fy2025_revenue,factual,What was Apple's total revenue in fiscal year 2025?,5.46,0.875,0.9795,0.2,0.0
nvda_datacenter_q2fy25,factual,What was NVIDIA's data center revenue in the second quarter of fiscal year 2025 and how did it grow year over year?,4.54,1.0,0.8985,1.0,1.0
msft_cloud_growth,factual,What percentage did Microsoft's overall revenue grow in its most recent quarterly filing?,5.99,0.8261,0.0,0.0,0.0
googl_cloud_growth,factual,How fast did Google Cloud revenue grow year over year in Google's most recent quarterly filing?,5.91,0.5,0.9645,0.3333,0.0
avgo_gross_margin,factual,What was Broadcom's gross margin percentage in its most recent quarterly filing?,4.47,0.8,0.0,0.0,0.0
aapl_revenue_yoy,factual,How did Apple's total revenue change between fiscal year 2024 and fiscal year 2025?,4.42,0.8667,0.0,0.2,0.0
nflx_strategy,factual,What is Netflix's stated strategy for growing its business?,4.8,1.0,0.9788,1.0,1.0
tsla_competition,factual,How does Tesla describe the competitive landscape in the EV market?,6.89,0.9231,0.9841,0.0,0.0
amd_ai_risks,factual,What AI-related risks does AMD disclose in its SEC filings?,5.51,0.875,0.0,0.8875,1.0
intc_challenges,factual,What major business challenges does Intel describe in its most recent filings?,3.88,0.7778,0.0,0.0,0.0
aapl_iphone_revenue_fy2025,factual,What was Apple's iPhone revenue in fiscal year 2025?,6.2,0.6667,1.0,0.25,1.0
aapl_americas_revenue,factual,What were Apple's Americas segment net sales in fiscal year 2025?,7.84,1.0,0.9985,0.8333,0.0
avgo_tsmc_concentration,factual,What percentage of Broadcom's wafers were manufactured by TSMC?,5.0,0.625,0.9784,1.0,1.0
googl_total_revenue_q3cy25,factual,What was Google's total revenue in the third quarter of calendar year 2025?,3.14,nan,0.9809,0.25,1.0
nvda_datacenter_fy2025_fullyear,factual,By what percentage did NVIDIA's data center computing revenue grow in full-year fiscal year 2025?,5.81,1.0,0.9789,0.75,1.0
msft_ai_risk_disclosure,factual,What risks does Microsoft disclose related to artificial intelligence in its SEC filings?,16.57,0.7333,0.9102,0.2815,nan
meta_ai_investment,factual,What does Meta say about its capital expenditure plans for AI infrastructure?,4.65,1.0,0.0,0.0,0.0
amzn_aws_description,factual,How does Amazon describe the AWS business and its role in the company?,4.92,1.0,0.9014,0.8042,1.0
tsla_energy_business,factual,How does Tesla describe its energy generation and storage business segment?,6.05,0.8182,0.944,1.0,1.0
orcl_cloud_strategy,factual,How does Oracle describe its cloud infrastructure and applications strategy?,8.21,0.8182,0.9692,0.0,0.0
crm_revenue_segments,factual,What are Salesforce's primary revenue categories as described in its filings?,12.97,1.0,0.9609,0.5,1.0
nflx_ad_tier,factual,What does Netflix say about its advertising-supported subscription tier?,5.35,1.0,1.0,0.3667,0.0
amd_data_center_revenue,factual,How does AMD describe its data center segment performance in recent filings?,7.21,1.0,0.9064,0.5889,0.0
intc_foundry_strategy,factual,What does Intel say about its foundry services business in its SEC filings?,4.78,0.8889,0.0,0.0,0.0
avgo_ai_networking,factual,How does Broadcom describe its AI networking and custom accelerator business?,3.93,nan,0.9723,0.0,1.0
msft_azure_description,factual,How does Microsoft describe the Azure cloud platform in its SEC filings?,7.58,1.0,0.8977,0.9167,1.0
meta_vr_hardware_risk,factual,What risks does Meta disclose related to its VR and hardware products?,4.75,1.0,0.0,0.0,0.0
googl_regulatory_risk,factual,What regulatory and antitrust risks does Google disclose in its filings?,11.27,1.0,0.0,1.0,1.0
amzn_tariff_risk,factual,How does Amazon describe the risk of tariffs and trade policy on its business?,5.92,0.7778,0.9562,1.0,0.0
tsla_autonomous_driving,factual,How does Tesla describe its autonomous driving technology and the associated risks?,9.69,1.0,0.9634,0.2,1.0
orcl_database_competition,factual,How does Oracle describe competition in the database and cloud markets?,8.83,1.0,0.9282,1.0,1.0
crm_agentforce,factual,What does Salesforce say about its Agentforce AI platform in recent filings?,6.32,1.0,0.9318,1.0,1.0
nvda_supply_chain_risk,factual,What supply chain risks does NVIDIA disclose related to its semiconductor manufacturing?,8.13,1.0,0.982,1.0,0.0
aapl_services_revenue,factual,How does Apple describe its Services segment and what drives its growth?,8.53,1.0,0.9518,1.0,1.0
nflx_content_spending,factual,What does Netflix say about its content spending and programming obligations?,9.99,0.9583,0.0,0.5833,0.0
amd_mi300_ramp,factual,How does AMD describe the ramp of its MI300 AI accelerator products?,5.78,1.0,0.0,1.0,nan
meta_dau_description,factual,How does Meta describe its daily active people metric in recent filings?,5.19,1.0,0.8756,1.0,1.0
amzn_advertising_segment,factual,How does Amazon describe its advertising services business?,3.76,1.0,0.9563,0.4167,0.0
msft_copilot_description,factual,How does Microsoft describe its Copilot AI products in its SEC filings?,7.81,1.0,0.966,1.0,0.0
orcl_remaining_performance,factual,What does Oracle report about its remaining performance obligations in recent filings?,6.24,1.0,0.9139,1.0,1.0
tsla_gigafactory_description,factual,How does Tesla describe its Gigafactory manufacturing strategy?,7.44,1.0,0.9256,0.4167,1.0
avgo_vmware_integration,factual,How does Broadcom describe the integration of VMware following its acquisition?,6.31,1.0,0.9579,1.0,1.0
crm_international_revenue,factual,What does Salesforce report about its international revenue mix?,8.59,0.8182,0.0,0.4167,1.0
intc_restructuring,factual,What restructuring actions has Intel announced in its recent SEC filings?,3.83,0.75,0.9506,0.0,0.0
nvda_datacenter_trend,temporal,How has NVIDIA's data center segment revenue grown across multiple quarters over the past year?,9.6,0.7647,0.9209,0.1429,nan
aapl_china_trend,temporal,How have Apple's Greater China revenues trended between fiscal year 2024 and 2025?,7.35,1.0,0.0,0.9429,1.0
msft_revenue_multi_quarter,temporal,How has Microsoft's overall revenue growth rate changed across the last three or four quarterly filings?,5.58,1.0,0.0,0.0,0.0
meta_capex_trend,temporal,How has Meta's capital expenditure changed across its most recent quarterly filings?,4.87,0.8333,0.9022,0.0,nan
googl_cloud_multi_quarter,temporal,How has Google Cloud revenue growth trended across multiple recent quarters?,6.52,0.9231,0.9456,1.0,0.5
nflx_revenue_trend,temporal,How has Netflix's total revenue grown quarter over quarter over the past year?,5.88,1.0,0.9204,0.4167,0.0
